"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","19","19","1","3.948006","0","19"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","43","43","1","14.323354","0","43"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","545","571","1","146.951889","0","571"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","21","9","1","7.208891","0","58"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","4","4","1","1.090080","0","4"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","4","4","1","1.003104","0","4"
"/Game/MoveableObjects/CollisionOK_M.CollisionOK_M","0","3","3","1","1.160082","0","3"
"/Game/MoveableObjects/CollisionBAD_M.CollisionBAD_M","0","3","3","1","1.135388","0","3"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","9","9","1","3.112177","0","13"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere026Mat.Sphere026Mat","0","3","3","1","1.262333","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Beam.Beam","0","3","3","1","1.270572","0","5"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantStem_M.PlantStem_M","0","3","3","1","1.253600","0","3"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerWhite_M.PlantFlowerWhite_M","0","3","3","1","1.305227","0","3"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerRed_M.PlantFlowerRed_M","0","3","3","1","1.272738","0","3"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerPurple_M.PlantFlowerPurple_M","0","3","3","1","1.202603","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Object004Mat.Object004Mat","0","3","3","1","1.256404","0","3"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerPink_M.PlantFlowerPink_M","0","3","3","1","1.314246","0","3"
"/Game/Meg_EnvironmentArt/Plants/Materials/PlantFlowerBlack_M.PlantFlowerBlack_M","0","3","3","1","0.746393","0","5"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Pot_2.Pot_2","0","3","3","1","0.706465","0","4"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere002Mat.Sphere002Mat","0","3","3","1","1.359321","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Table.Table","0","3","3","1","1.477844","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Pot_1.Pot_1","0","3","3","1","1.454271","0","3"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","0.399080","0","2"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","14","7","1","5.334487","0","38"
"/Game/Sett_Dev_Shader/Geometry/Meshes/CubeMaterial.CubeMaterial","0","3","3","1","1.345574","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Shader/CellShade_PostProcess.CellShade_PostProcess","0","4","4","1","0.594989","0","4"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Wall.Wall","0","3","3","1","1.338626","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Rope.Rope","0","3","3","1","0.583125","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Pot_6.Pot_6","0","3","3","1","1.104838","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Pot_5.Pot_5","0","3","3","1","1.170597","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Pot_4.Pot_4","0","3","3","1","1.124828","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Pot_3.Pot_3","0","3","3","1","1.315920","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Mortar.Mortar","0","3","3","1","1.191765","0","5"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Metal.Metal","0","3","3","1","1.279858","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Counter.Counter","0","3","3","1","1.337389","0","5"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Bucket.Bucket","0","3","3","1","1.284838","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Brick.Brick","0","3","3","1","1.817466","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Black.Black","0","3","3","1","1.272853","0","3"
"/Game/Sett_Dev_Shader/Dev_Shader/MATERIALS/Bench.Bench","0","3","3","1","1.426083","0","3"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","19","3","1","4.687115","0","51"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","2.939626","0","8"
"/Game/Sett_Dev_Shader/Dev_Shader/Test_Materials/Brick_Test_3.Brick_Test_3","0","2","2","1","0.712313","0","2"
"/Game/Sett_Dev_Shader/Dev_Shader/Test_Materials/Brick_Test_2.Brick_Test_2","0","2","2","1","0.736230","0","2"
"/Game/Sett_Dev_Shader/Dev_Shader/Test_Materials/Brick_Test_1.Brick_Test_1","0","3","3","1","1.205649","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Tube001Mat.Tube001Mat","0","3","3","1","1.082682","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere029Mat.Sphere029Mat","0","3","3","1","1.291933","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere028Mat.Sphere028Mat","0","3","3","1","1.420252","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere027Mat.Sphere027Mat","0","3","3","1","1.199942","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere023Mat.Sphere023Mat","0","3","3","1","1.236740","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere022Mat.Sphere022Mat","0","3","3","1","1.296751","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere021Mat.Sphere021Mat","0","3","3","1","1.364160","0","5"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere020Mat.Sphere020Mat","0","3","3","1","1.165370","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere019Mat.Sphere019Mat","0","3","3","1","1.268599","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere018Mat.Sphere018Mat","0","3","3","1","1.277366","0","4"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere017Mat.Sphere017Mat","0","3","3","1","1.452966","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere016Mat.Sphere016Mat","0","3","3","1","1.567962","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere012Mat.Sphere012Mat","0","3","3","1","1.202344","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere011Mat.Sphere011Mat","0","3","3","1","1.282454","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere010Mat.Sphere010Mat","0","3","3","1","1.348811","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere009Mat.Sphere009Mat","0","3","3","1","1.359173","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere008Mat.Sphere008Mat","0","3","3","1","1.328492","0","4"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere007Mat.Sphere007Mat","0","3","3","1","1.236782","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere006Mat.Sphere006Mat","0","3","3","1","1.192288","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere005Mat.Sphere005Mat","0","3","3","1","1.367484","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Sphere003Mat.Sphere003Mat","0","3","3","1","1.430534","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Object038Mat.Object038Mat","0","3","3","1","1.360433","0","5"
"/Game/Meg_EnvironmentArt/Plants/Models/Object037Mat.Object037Mat","0","3","3","1","1.443707","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Object034Mat.Object034Mat","0","3","3","1","1.282190","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Object033Mat.Object033Mat","0","3","3","1","1.636968","0","4"
"/Game/Meg_EnvironmentArt/Plants/Models/Object032Mat.Object032Mat","0","3","3","1","1.336765","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Object031Mat.Object031Mat","0","3","3","1","1.274433","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Object015Mat.Object015Mat","0","3","3","1","1.338601","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Object014Mat.Object014Mat","0","3","3","1","1.399412","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Object013Mat.Object013Mat","0","3","3","1","1.214727","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Object012Mat.Object012Mat","0","3","3","1","1.222614","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Object011Mat.Object011Mat","0","3","3","1","1.420599","0","5"
"/Game/Meg_EnvironmentArt/Plants/Models/Object010Mat.Object010Mat","0","3","3","1","1.286353","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Object009Mat.Object009Mat","0","3","3","1","1.365428","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Object008Mat.Object008Mat","0","3","3","1","1.459266","0","4"
"/Game/Meg_EnvironmentArt/Plants/Models/Object006Mat.Object006Mat","0","3","3","1","1.452887","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Line003Mat.Line003Mat","0","3","3","1","1.268363","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Line002Mat.Line002Mat","0","3","3","1","1.409100","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Cylinder011Mat.Cylinder011Mat","0","3","3","1","1.275941","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Cylinder007Mat.Cylinder007Mat","0","3","3","1","1.397939","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Cylinder006Mat.Cylinder006Mat","0","3","3","1","1.310504","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Cylinder005Mat.Cylinder005Mat","0","3","3","1","1.248862","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Cylinder003Mat.Cylinder003Mat","0","3","3","1","1.297109","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Cone006Mat.Cone006Mat","0","3","3","1","1.380582","0","4"
"/Game/Meg_EnvironmentArt/Plants/Models/Cone005Mat.Cone005Mat","0","3","3","1","1.378755","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Cone003Mat.Cone003Mat","0","3","3","1","1.168021","0","3"
"/Game/Meg_EnvironmentArt/Plants/Models/Box002Mat.Box002Mat","0","3","3","1","1.345120","0","3"
